item	Sincerity(H:Sinc) 	Fairness(H:Fair)	Greed Avoidance(H:Gree)	Modesty(H:Mode)	Fearfulness(E:Fear)	Anxiety(E:Anxi)	Dependence(E:Depe)	Sentimentality(E:Sent)	Expressiveness(X:Expr)	Social Boldness(X:SocB)	Sociability(X:Soci)	Liveliness(X:Live)	Forgiveness(A:Forg)	Gentleness(A:Gent)	Flexibility(A:Flex)	Patience(A:Pati)	Organization(C:Orga)	Diligence(C:Dili)	Perfectionism(C:Perf)	Prudence(C:Prud)	Aesthetic Appreciation(O:AesA)	Inquisitiveness(O:Inqu)	Creativity(O:Crea)	Unconventionality(O:Unco)
Come up with something new.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Carry the conversation to a higher level.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Am full of ideas.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Love to think up new ways of doing things.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Have excellent ideas.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Do not have a good imagination.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0
Have difficulty imagining things.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0
Have trouble guessing how others will react.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0
Seldom experience sudden intuitive insights.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0
Am considered to be kind of eccentric.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Know that my ideas sometimes surprise people.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Do things that others find strange.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rebel against authority.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Swim against the current.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Would hate to be considered odd or strange.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
"Enjoy being thought of as a normal ""mainstream"" person."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
Like to be viewed as proper and conventional.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
Like to be thought of as a normal kind of person.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
Try to avoid complex people.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
