item	ipip_id	Appreciation of Beauty [App]	Capacity for Love [Cap]	Citizenship/Teamwork [Cit]	Curiosity [Cur]	Equity/Fairness [Equ]	Forgiveness/Mercy [For]	Gratitude [Gra]	Hope/Optimism [Hop]	Humor/Playfulness [Hum]	Industry/Perseverance/Persistence [Ind]	Integrity/Honesty/Authenticity [Int]	Judgment/Open-mindedness [Jud]	Kindness/Generosity [Kin]	Leadership [Lea]	Love of Learning [Lov]	Modesty/Humility [Mod]	Originality/Creativity [Ori]	Perspective/Wisdom [Per]	Prudence [Pru]	Self-regulation/Self-control [Sel]	Social/Personal/Emotional Intelligence [Soc]	Spirituality/Religiousness [Spi]	Valor/Bravery/Courage [Val]	Zest/Enthusiasm/Vitality [Zes]
Don't speak my mind freely when there might be negative results.	V130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0
Prefer to participate fully rather than view life from the sidelines.	V50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Don't approach things halfheartedly.	V133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Love what I do.	V148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Look forward to each new day.	V182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Can't wait to get started on a project.		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Can hardly wait to see what life has in store for me in the years ahead.	V286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Awaken with a sense of excitement about the day's possibilities.	V326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dread getting up in the morning.	V78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
Don't have much energy.	V211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
